#header_line 1: I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=mlx mpirun -np 2 -ppn=1 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,0  ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode009],[ct1pt-tnode010]
#header_line 3: 1.05, 12204.29
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,1.04,0.0,1.05,0.00
1,1000,1.04,0.96,1.05,0.95
2,1000,1.06,1.9,1.05,1.90
4,1000,1.06,3.8,1.05,3.81
8,1000,1.04,7.66,1.05,7.61
16,1000,1.05,15.29,1.05,15.22
32,1000,1.06,30.13,1.05,30.40
64,1000,1.2,53.44,1.06,60.65
128,1000,1.24,103.13,1.06,120.70
256,1000,1.61,165.36,1.07,239.03
512,1000,1.68,315.97,1.09,468.88
1024,1000,1.7,601.45,1.13,903.07
2048,1000,2.3,889.51,1.22,1681.71
4096,1000,3.02,1358.06,1.39,2956.08
8192,1000,3.91,2096.5,1.72,4759.36
16384,1000,5.58,2937.38,2.39,6848.13
32768,1000,9.32,3514.88,3.73,8773.33
65536,640,12.3,5330.5,6.42,10208.23
131072,320,21.61,6066.45,11.79,11117.38
262144,160,32.31,8113.26,22.53,11635.51
524288,80,55.43,9465.69,44.01,11913.11
1048576,40,97.31,10775.81,86.97,12056.94
2097152,20,182.24,11508.03,172.89,12130.17
4194304,10,351.83,11921.43,344.72,12167.12
8388608,5,693.23,12100.85,688.40,12185.68
16777216,2,1375.02,12201.64,1375.75,12194.98
33554432,1,2755.92,12175.45,2750.45,12199.63
67108864,1,5500.36,12200.86,5499.84,12201.96
134217728,1,10979.26,12224.73,10998.64,12203.12
268435456,1,21973.92,12216.13,21996.22,12203.71
