#header_line 1: I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=tcp   mpirun -np 2 -ppn=1 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,0   ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode009],[ct1pt-tnode010]
#header_line 3: 8.49, 2612.48
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,8.74,0.0,8.49,0.00
1,1000,8.6,0.12,8.49,0.12
2,1000,8.52,0.24,8.49,0.24
4,1000,8.44,0.48,8.49,0.47
8,1000,8.4,0.96,8.49,0.94
16,1000,8.4,1.91,8.50,1.88
32,1000,8.35,3.85,8.50,3.76
64,1000,8.27,7.76,8.51,7.52
128,1000,8.18,15.68,8.54,14.99
256,1000,8.28,31.0,8.59,29.81
512,1000,10.71,47.91,8.69,58.95
1024,1000,10.9,94.14,8.88,115.29
2048,1000,12.76,160.61,9.27,220.83
4096,1000,13.6,301.33,10.06,407.24
8192,1000,15.34,534.46,11.63,704.64
16384,1000,24.9,658.58,14.76,1109.92
32768,1000,34.86,940.44,21.03,1557.94
65536,640,59.31,1105.36,33.58,1951.89
131072,320,111.02,1181.04,58.66,2234.38
262144,160,154.49,1727.43,108.83,2408.68
524288,80,241.06,2219.19,209.18,2506.45
1048576,40,406.18,2622.69,409.86,2558.36
2097152,20,743.6,2851.51,811.23,2585.14
4194304,10,1463.31,2883.1,1613.98,2598.74
8388608,5,3013.29,2796.63,3219.47,2605.59
16777216,2,6413.41,2632.19,6430.44,2609.03
33554432,1,12972.78,2601.9,12852.39,2610.75
67108864,1,26097.83,2584.3,25696.29,2611.62
134217728,1,50742.27,2654.0,51384.09,2612.05
268435456,1,103302.13,2609.71,102759.69,2612.26
