#header_line 1: I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=tcp   mpirun -np 2 -ppn=1 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,0   ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode009],[ct1pt-tnode010]
#header_line 3: -3.33, 2605.82
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,8.74,0.0,-3.33,-0.00
1,1000,8.6,0.12,-3.33,-0.30
2,1000,8.52,0.24,-3.33,-0.60
4,1000,8.44,0.48,-3.33,-1.20
8,1000,8.4,0.96,-3.33,-2.40
16,1000,8.4,1.91,-3.33,-4.81
32,1000,8.35,3.85,-3.32,-9.64
64,1000,8.27,7.76,-3.31,-19.34
128,1000,8.18,15.68,-3.28,-38.98
256,1000,8.28,31.0,-3.23,-79.14
512,1000,10.71,47.91,-3.14,-163.24
1024,1000,10.9,94.14,-2.94,-348.30
2048,1000,12.76,160.61,-2.55,-804.07
4096,1000,13.6,301.33,-1.76,-2325.80
8192,1000,15.34,534.46,-0.19,-43286.72
16384,1000,24.9,658.58,2.95,5545.46
32768,1000,34.86,940.44,9.24,3545.57
65536,640,59.31,1105.36,21.82,3003.91
131072,320,111.02,1181.04,46.97,2790.74
262144,160,154.49,1727.43,97.27,2695.11
524288,80,241.06,2219.19,197.87,2649.71
1048576,40,406.18,2622.69,399.07,2627.58
2097152,20,743.6,2851.51,801.46,2616.65
4194304,10,1463.31,2883.1,1606.26,2611.22
8388608,5,3013.29,2796.63,3215.85,2608.52
16777216,2,6413.41,2632.19,6435.04,2607.17
33554432,1,12972.78,2601.9,12873.41,2606.49
67108864,1,26097.83,2584.3,25750.16,2606.15
134217728,1,50742.27,2654.0,51503.65,2605.98
268435456,1,103302.13,2609.71,103010.63,2605.90
