#header_line 1: I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=verbs mpirun -np 2 -ppn=1 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,0   ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode009],[ct1pt-tnode010]
#header_line 3: 1.21, 8914.36
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,1.2,0.0,1.21,0.00
1,1000,1.21,0.83,1.21,0.83
2,1000,1.21,1.66,1.21,1.65
4,1000,1.21,3.31,1.21,3.30
8,1000,1.21,6.62,1.21,6.61
16,1000,1.21,13.23,1.21,13.20
32,1000,1.21,26.45,1.21,26.37
64,1000,1.24,51.65,1.22,52.58
128,1000,1.28,100.3,1.22,104.54
256,1000,1.7,150.48,1.24,206.67
512,1000,1.78,286.99,1.27,403.97
1024,1000,1.96,521.65,1.32,772.91
2048,1000,2.33,880.12,1.44,1422.48
4096,1000,3.23,1269.73,1.67,2453.45
8192,1000,4.57,1793.44,2.13,3847.88
16384,1000,7.04,2325.78,3.05,5375.45
32768,1000,9.63,3403.28,4.89,6706.69
65536,640,13.13,4989.87,8.56,7654.52
131072,320,20.08,6527.44,15.91,8236.55
262144,160,63.83,4107.46,30.62,8562.06
524288,80,92.86,5646.26,60.02,8734.66
1048576,40,146.67,7149.54,118.84,8823.59
2097152,20,255.68,8202.55,236.47,8868.74
4194304,10,476.43,8804.18,471.72,8891.49
8388608,5,915.66,9161.38,942.23,8902.91
16777216,2,1857.61,9032.36,1883.25,8908.63
33554432,1,3669.46,9144.75,3765.30,8911.50
67108864,1,7512.54,8933.23,7529.39,8912.93
134217728,1,15362.71,8736.71,15057.56,8913.64
268435456,1,30357.19,8842.75,30113.91,8914.00
