#header_line 1: I_MPI_FABRICS=ofi I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=mlx   mpirun -np 2 -ppn=2 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,1  ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode009],[ct1pt-tnode009]
#header_line 3: 0.45, 5080.91
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,0.45,0.0,0.45,0.00
1,1000,0.45,2.22,0.45,2.22
2,1000,0.45,4.47,0.45,4.44
4,1000,0.45,8.93,0.45,8.87
8,1000,0.45,17.95,0.45,17.72
16,1000,0.45,35.97,0.45,35.31
32,1000,0.62,51.39,0.46,70.13
64,1000,0.62,102.63,0.46,138.35
128,1000,0.98,130.18,0.48,269.36
256,1000,1.13,226.21,0.50,511.61
512,1000,1.21,422.49,0.55,929.61
1024,1000,1.47,698.59,0.65,1571.66
2048,1000,2.24,912.58,0.85,2400.72
4096,1000,3.25,1262.08,1.26,3260.74
8192,1000,5.19,1579.17,2.06,3972.25
16384,1000,4.54,3607.05,3.67,4458.69
32768,1000,5.44,6025.52,6.90,4749.51
65536,640,6.72,9755.33,13.35,4909.62
131072,320,9.52,13771.52,26.25,4993.80
262144,160,13.03,20125.7,52.04,5036.98
524288,80,26.4,19858.09,103.64,5058.85
1048576,40,53.03,19774.79,206.83,5069.86
2097152,20,140.47,14930.16,413.20,5075.38
4194304,10,304.49,13775.58,825.95,5078.14
8388608,5,680.31,12331.8,1651.46,5079.53
16777216,2,2236.04,7503.33,3302.46,5080.22
33554432,1,6352.89,5281.84,6604.47,5080.56
67108864,1,13436.17,4994.65,13208.49,5080.74
134217728,1,26771.11,5013.56,26416.53,5080.82
268435456,1,53328.89,5033.61,52832.61,5080.87
