#header_line 1: I_MPI_FABRICS=ofi I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=mlx   mpirun -np 2 -ppn=2 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,1  ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode009],[ct1pt-tnode009]
#header_line 3: -117.17, 5022.01
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,0.45,0.0,-117.17,-0.00
1,1000,0.45,2.22,-117.17,-0.01
2,1000,0.45,4.47,-117.17,-0.02
4,1000,0.45,8.93,-117.17,-0.03
8,1000,0.45,17.95,-117.17,-0.07
16,1000,0.45,35.97,-117.17,-0.14
32,1000,0.62,51.39,-117.17,-0.27
64,1000,0.62,102.63,-117.16,-0.55
128,1000,0.98,130.18,-117.15,-1.09
256,1000,1.13,226.21,-117.12,-2.19
512,1000,1.21,422.49,-117.07,-4.37
1024,1000,1.47,698.59,-116.97,-8.75
2048,1000,2.24,912.58,-116.76,-17.54
4096,1000,3.25,1262.08,-116.36,-35.20
8192,1000,5.19,1579.17,-115.54,-70.90
16384,1000,4.54,3607.05,-113.91,-143.83
32768,1000,5.44,6025.52,-110.65,-296.15
65536,640,6.72,9755.33,-104.12,-629.41
131072,320,9.52,13771.52,-91.07,-1439.20
262144,160,13.03,20125.7,-64.97,-4034.63
524288,80,26.4,19858.09,-12.77,-41042.06
1048576,40,53.03,19774.79,91.62,11444.38
2097152,20,140.47,14930.16,300.42,6980.74
4194304,10,304.49,13775.58,718.01,5841.55
8388608,5,680.31,12331.8,1553.20,5400.87
16777216,2,2236.04,7503.33,3223.57,5204.55
33554432,1,6352.89,5281.84,6564.30,5111.65
67108864,1,13436.17,4994.65,13245.78,5066.43
134217728,1,26771.11,5013.56,26608.74,5044.12
268435456,1,53328.89,5033.61,53334.64,5033.04
