#header_line 1: I_MPI_FABRICS=shm I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=mlx   mpirun -np 2 -ppn=2 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,1  ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode009],[ct1pt-tnode009]
#header_line 3: 0.43, 4152.97
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,0.42,0.0,0.43,0.00
1,1000,0.43,2.34,0.43,2.32
2,1000,0.43,4.66,0.43,4.65
4,1000,0.43,9.35,0.43,9.28
8,1000,0.43,18.72,0.43,18.52
16,1000,0.43,37.35,0.43,36.88
32,1000,0.46,68.95,0.44,73.11
64,1000,0.47,137.16,0.45,143.69
128,1000,0.58,221.77,0.46,277.76
256,1000,0.62,410.91,0.49,520.70
512,1000,0.81,632.09,0.55,925.38
1024,1000,0.89,1151.86,0.68,1513.52
2048,1000,1.05,1950.98,0.92,2218.51
4096,1000,1.49,2751.93,1.42,2892.08
8192,1000,1.98,4136.49,2.40,3409.69
16384,1000,3.24,5057.3,4.38,3744.80
32768,1000,5.08,6450.44,8.32,3938.34
65536,640,9.22,7108.76,16.21,4042.81
131072,320,17.85,7344.86,31.99,4097.15
262144,160,35.39,7409.78,63.55,4124.87
524288,80,81.54,6430.38,126.67,4138.87
1048576,40,167.96,6242.94,252.92,4145.91
2097152,20,334.44,6270.56,505.41,4149.44
4194304,10,669.01,6269.47,1010.38,4151.20
8388608,5,1434.64,5847.24,2020.34,4152.09
16777216,2,3881.87,4322.13,4040.24,4152.53
33554432,1,8074.81,4155.47,8080.05,4152.75
67108864,1,16141.79,4157.47,16159.68,4152.86
134217728,1,32326.93,4151.89,32318.92,4152.91
268435456,1,64729.56,4147.03,64637.41,4152.94
