#header_line 1: I_MPI_FABRICS=shm I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=mlx   mpirun -np 2 -ppn=2 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,1  ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode009],[ct1pt-tnode009]
#header_line 3: -53.13, 4145.14
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,0.42,0.0,-53.13,-0.00
1,1000,0.43,2.34,-53.13,-0.02
2,1000,0.43,4.66,-53.13,-0.04
4,1000,0.43,9.35,-53.13,-0.08
8,1000,0.43,18.72,-53.13,-0.15
16,1000,0.43,37.35,-53.13,-0.30
32,1000,0.46,68.95,-53.12,-0.60
64,1000,0.47,137.16,-53.12,-1.20
128,1000,0.58,221.77,-53.10,-2.41
256,1000,0.62,410.91,-53.07,-4.82
512,1000,0.81,632.09,-53.01,-9.66
1024,1000,0.89,1151.86,-52.88,-19.36
2048,1000,1.05,1950.98,-52.64,-38.91
4096,1000,1.49,2751.93,-52.14,-78.55
8192,1000,1.98,4136.49,-51.16,-160.14
16384,1000,3.24,5057.3,-49.18,-333.15
32768,1000,5.08,6450.44,-45.23,-724.53
65536,640,9.22,7108.76,-37.32,-1756.00
131072,320,17.85,7344.86,-21.51,-6093.29
262144,160,35.39,7409.78,10.11,25929.75
524288,80,81.54,6430.38,73.35,7147.65
1048576,40,167.96,6242.94,199.83,5247.24
2097152,20,334.44,6270.56,452.80,4631.53
4194304,10,669.01,6269.47,958.73,4374.86
8388608,5,1434.64,5847.24,1970.59,4256.90
16777216,2,3881.87,4322.13,3994.31,4200.28
33554432,1,8074.81,4155.47,8041.76,4172.53
67108864,1,16141.79,4157.47,16136.64,4158.79
134217728,1,32326.93,4151.89,32326.42,4151.95
268435456,1,64729.56,4147.03,64705.97,4148.54
