#header_line 1: I_MPI_FABRICS=ofi I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=tcp   mpirun -np 2 -ppn=2 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,1  ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode009],[ct1pt-tnode009]
#header_line 3: 7.87, 3274.47
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,7.84,0.0,7.87,0.00
1,1000,7.93,0.13,7.87,0.13
2,1000,7.86,0.26,7.87,0.25
4,1000,7.85,0.51,7.87,0.51
8,1000,7.85,1.02,7.87,1.02
16,1000,7.84,2.04,7.87,2.03
32,1000,7.85,4.08,7.88,4.06
64,1000,8.09,7.91,7.89,8.11
128,1000,8.1,15.8,7.91,16.18
256,1000,8.16,31.4,7.95,32.21
512,1000,9.9,51.74,8.03,63.79
1024,1000,10.11,101.32,8.18,125.14
2048,1000,10.5,195.14,8.50,241.07
4096,1000,11.66,351.26,9.12,449.08
8192,1000,12.96,632.07,10.37,789.84
16384,1000,22.61,724.54,12.87,1272.69
32768,1000,33.63,975.32,17.88,1832.96
65536,640,55.19,1187.7,27.88,2350.29
131072,320,102.63,1277.15,47.90,2736.46
262144,160,112.19,2336.87,87.93,2981.38
524288,80,173.32,3025.1,167.98,3121.06
1048576,40,306.09,3425.81,328.10,3195.93
2097152,20,621.84,3372.51,648.33,3234.72
4194304,10,1231.67,3405.4,1288.78,3254.47
8388608,5,2443.26,3433.38,2569.69,3264.44
16777216,2,5060.98,3315.04,5131.51,3269.45
33554432,1,10333.88,3247.08,10255.16,3271.96
67108864,1,20443.18,3282.73,20502.44,3273.21
134217728,1,40932.62,3279.31,40997.02,3273.84
268435456,1,81623.96,3288.78,81986.16,3274.16
