#header_line 1: I_MPI_FABRICS=ofi I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=tcp   mpirun -np 2 -ppn=2 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,1  ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode009],[ct1pt-tnode009]
#header_line 3: 9.80, 3286.88
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,7.84,0.0,9.80,0.00
1,1000,7.93,0.13,9.80,0.10
2,1000,7.86,0.26,9.80,0.20
4,1000,7.85,0.51,9.80,0.41
8,1000,7.85,1.02,9.80,0.82
16,1000,7.84,2.04,9.81,1.63
32,1000,7.85,4.08,9.81,3.26
64,1000,8.09,7.91,9.82,6.52
128,1000,8.1,15.8,9.84,13.01
256,1000,8.16,31.4,9.88,25.91
512,1000,9.9,51.74,9.96,51.42
1024,1000,10.11,101.32,10.11,101.26
2048,1000,10.5,195.14,10.42,196.47
4096,1000,11.66,351.26,11.05,370.77
8192,1000,12.96,632.07,12.29,666.37
16384,1000,22.61,724.54,14.79,1108.09
32768,1000,33.63,975.32,19.77,1657.42
65536,640,55.19,1187.7,29.74,2203.65
131072,320,102.63,1277.15,49.68,2638.41
262144,160,112.19,2336.87,89.56,2927.16
524288,80,173.32,3025.1,169.31,3096.61
1048576,40,306.09,3425.81,328.82,3188.91
2097152,20,621.84,3372.51,647.84,3237.15
4194304,10,1231.67,3405.4,1285.88,3261.83
8388608,5,2443.26,3433.38,2561.95,3274.31
16777216,2,5060.98,3315.04,5114.10,3280.58
33554432,1,10333.88,3247.08,10218.40,3283.73
67108864,1,20443.18,3282.73,20426.99,3285.30
134217728,1,40932.62,3279.31,40844.18,3286.09
268435456,1,81623.96,3288.78,81678.56,3286.49
