#header_line 1: I_MPI_FABRICS=shm I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=tcp   mpirun -np 2 -ppn=2 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,1  ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode009],[ct1pt-tnode009]
#header_line 3: 0.43, 4153.01
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,0.42,0.0,0.43,0.00
1,1000,0.43,2.34,0.43,2.32
2,1000,0.43,4.69,0.43,4.65
4,1000,0.43,9.37,0.43,9.28
8,1000,0.43,18.7,0.43,18.52
16,1000,0.43,37.36,0.43,36.88
32,1000,0.47,68.59,0.44,73.11
64,1000,0.46,137.64,0.45,143.69
128,1000,0.58,221.26,0.46,277.77
256,1000,0.62,411.38,0.49,520.70
512,1000,0.81,630.76,0.55,925.38
1024,1000,0.89,1153.86,0.68,1513.52
2048,1000,1.05,1954.18,0.92,2218.52
4096,1000,1.48,2764.41,1.42,2892.10
8192,1000,1.97,4153.26,2.40,3409.72
16384,1000,3.25,5047.37,4.38,3744.84
32768,1000,5.08,6453.76,8.32,3938.38
65536,640,9.22,7109.97,16.21,4042.85
131072,320,17.85,7343.65,31.99,4097.19
262144,160,34.72,7550.78,63.55,4124.91
524288,80,81.92,6400.51,126.67,4138.91
1048576,40,168.1,6237.84,252.92,4145.95
2097152,20,334.81,6263.68,505.40,4149.48
4194304,10,669.91,6261.03,1010.37,4151.24
8388608,5,1431.23,5861.15,2020.32,4152.13
16777216,2,3890.12,4312.92,4040.20,4152.57
33554432,1,8075.66,4155.04,8079.98,4152.79
67108864,1,16148.12,4155.86,16159.52,4152.90
134217728,1,32322.76,4152.43,32318.61,4152.95
268435456,1,64703.6,4148.7,64636.79,4152.98
