#header_line 1: I_MPI_FABRICS=ofi I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=verbs  mpirun -np 2 -ppn=2 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,1  ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode009],[ct1pt-tnode009]
#header_line 3: 1.09, 8006.76
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,1.08,0.0,1.09,0.00
1,1000,1.09,0.91,1.09,0.92
2,1000,1.09,1.83,1.09,1.83
4,1000,1.09,3.66,1.09,3.67
8,1000,1.09,7.31,1.09,7.33
16,1000,1.09,14.69,1.09,14.65
32,1000,1.1,29.22,1.09,29.25
64,1000,1.12,57.28,1.10,58.29
128,1000,1.15,111.43,1.11,115.73
256,1000,1.67,153.43,1.12,228.17
512,1000,1.76,291.32,1.15,443.69
1024,1000,1.95,525.46,1.22,840.80
2048,1000,2.36,867.53,1.35,1521.79
4096,1000,3.28,1248.5,1.60,2557.49
8192,1000,4.71,1738.5,2.11,3876.70
16384,1000,7.57,2164.15,3.14,5224.04
32768,1000,10.16,3224.44,5.18,6322.77
65536,640,14.6,4490.39,9.28,7065.81
131072,320,23.57,5561.69,17.46,7506.92
262144,160,69.65,3763.98,33.83,7748.79
524288,80,103.09,5085.7,66.57,7875.66
1048576,40,164.32,6381.25,132.05,7940.67
2097152,20,285.14,7354.83,263.01,7973.58
4194304,10,529.58,7920.14,524.94,7990.13
8388608,5,1018.59,8235.64,1048.78,7998.44
16777216,2,2082.25,8057.33,2096.47,8002.60
33554432,1,4086.26,8211.58,4191.85,8004.68
67108864,1,8300.15,8085.51,8382.62,8005.72
134217728,1,16866.38,7957.73,16764.14,8006.24
268435456,1,34537.9,7772.23,33527.19,8006.50
