#header_line 1: I_MPI_FABRICS=ofi I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=verbs  mpirun -np 2 -ppn=2 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,1  ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode009],[ct1pt-tnode009]
#header_line 3: -17.43, 7820.66
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,1.08,0.0,-17.43,-0.00
1,1000,1.09,0.91,-17.43,-0.06
2,1000,1.09,1.83,-17.43,-0.11
4,1000,1.09,3.66,-17.43,-0.23
8,1000,1.09,7.31,-17.43,-0.46
16,1000,1.09,14.69,-17.43,-0.92
32,1000,1.1,29.22,-17.43,-1.84
64,1000,1.12,57.28,-17.42,-3.67
128,1000,1.15,111.43,-17.41,-7.35
256,1000,1.67,153.43,-17.40,-14.71
512,1000,1.76,291.32,-17.37,-29.48
1024,1000,1.95,525.46,-17.30,-59.19
2048,1000,2.36,867.53,-17.17,-119.29
4096,1000,3.28,1248.5,-16.91,-242.27
8192,1000,4.71,1738.5,-16.38,-500.02
16384,1000,7.57,2164.15,-15.34,-1068.36
32768,1000,10.16,3224.44,-13.24,-2474.79
65536,640,14.6,4490.39,-9.05,-7240.89
131072,320,23.57,5561.69,-0.67,-195349.07
262144,160,69.65,3763.98,16.09,16293.63
524288,80,103.09,5085.7,49.61,10568.58
1048576,40,164.32,6381.25,116.65,8989.31
2097152,20,285.14,7354.83,250.72,8364.36
4194304,10,529.58,7920.14,518.88,8083.38
8388608,5,1018.59,8235.64,1055.19,7949.85
16777216,2,2082.25,8057.33,2127.81,7884.73
33554432,1,4086.26,8211.58,4273.05,7852.56
67108864,1,8300.15,8085.51,8563.54,7836.58
134217728,1,16866.38,7957.73,17144.51,7828.61
268435456,1,34537.9,7772.23,34306.45,7824.64
