#header_line 1: I_MPI_FABRICS=shm I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=verbs  mpirun -np 2 -ppn=2 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,1  ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode009],[ct1pt-tnode009]
#header_line 3: 0.43, 4153.58
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,0.42,0.0,0.43,0.00
1,1000,0.43,2.34,0.43,2.32
2,1000,0.43,4.69,0.43,4.65
4,1000,0.43,9.36,0.43,9.28
8,1000,0.43,18.7,0.43,18.52
16,1000,0.43,37.4,0.43,36.88
32,1000,0.46,68.85,0.44,73.11
64,1000,0.46,137.92,0.45,143.69
128,1000,0.58,222.75,0.46,277.77
256,1000,0.62,412.61,0.49,520.71
512,1000,0.82,628.5,0.55,925.41
1024,1000,0.89,1151.03,0.68,1513.60
2048,1000,1.05,1957.33,0.92,2218.69
4096,1000,1.51,2711.65,1.42,2892.37
8192,1000,1.98,4136.38,2.40,3410.10
16384,1000,3.28,4992.59,4.37,3745.30
32768,1000,5.09,6431.74,8.32,3938.89
65536,640,9.19,7132.77,16.21,4043.39
131072,320,17.84,7346.82,31.99,4097.74
262144,160,34.7,7556.33,63.54,4125.47
524288,80,81.9,6401.38,126.66,4139.48
1048576,40,168.09,6238.09,252.88,4146.52
2097152,20,334.69,6266.06,505.33,4150.05
4194304,10,669.3,6266.68,1010.23,4151.81
8388608,5,1431.74,5859.07,2020.04,4152.70
16777216,2,3898.61,4303.52,4039.65,4153.14
33554432,1,8079.65,4152.98,8078.87,4153.36
67108864,1,16146.86,4156.17,16157.30,4153.47
134217728,1,32302.59,4155.02,32314.18,4153.52
268435456,1,64681.27,4150.14,64627.92,4153.55
