#header_line 1: I_MPI_FABRICS=shm I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=verbs  mpirun -np 2 -ppn=2 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,1  ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode009],[ct1pt-tnode009]
#header_line 3: -51.73, 4148.04
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,0.42,0.0,-51.73,-0.00
1,1000,0.43,2.34,-51.73,-0.02
2,1000,0.43,4.69,-51.73,-0.04
4,1000,0.43,9.36,-51.73,-0.08
8,1000,0.43,18.7,-51.72,-0.15
16,1000,0.43,37.4,-51.72,-0.31
32,1000,0.46,68.85,-51.72,-0.62
64,1000,0.46,137.92,-51.71,-1.24
128,1000,0.58,222.75,-51.70,-2.48
256,1000,0.62,412.61,-51.67,-4.95
512,1000,0.82,628.5,-51.60,-9.92
1024,1000,0.89,1151.03,-51.48,-19.89
2048,1000,1.05,1957.33,-51.23,-39.97
4096,1000,1.51,2711.65,-50.74,-80.73
8192,1000,1.98,4136.38,-49.75,-164.66
16384,1000,3.28,4992.59,-47.78,-342.93
32768,1000,5.09,6431.74,-43.83,-747.66
65536,640,9.19,7132.77,-35.93,-1824.12
131072,320,17.84,7346.82,-20.13,-6511.83
262144,160,34.7,7556.33,11.47,22854.30
524288,80,81.9,6401.38,74.67,7021.66
1048576,40,168.09,6238.09,201.06,5215.20
2097152,20,334.69,6266.06,453.85,4620.81
4194304,10,669.3,6266.68,959.43,4371.68
8388608,5,1431.74,5859.07,1970.58,4256.93
16777216,2,3898.61,4303.52,3992.88,4201.78
33554432,1,8079.65,4152.98,8037.49,4174.74
67108864,1,16146.86,4156.17,16126.72,4161.35
134217728,1,32302.59,4155.02,32305.16,4154.68
268435456,1,64681.27,4150.14,64662.05,4151.36
