#header_line 1: mpirun -np 2 --map-by ppr:2:socket --mca pml ob1 --mca btl openib,self --mca btl_openib_allow_ib 1 --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode009],[ct1pt-tnode010]
#header_line 3: 0.90, 11563.54
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,0.86,0.0,0.90,0.00
1,1000,0.89,1.13,0.90,1.11
2,1000,0.89,2.25,0.90,2.22
4,1000,0.89,4.5,0.90,4.44
8,1000,0.92,8.72,0.90,8.88
16,1000,0.92,17.44,0.90,17.75
32,1000,0.92,34.64,0.90,35.45
64,1000,0.94,67.92,0.91,70.68
128,1000,1.34,95.76,0.91,140.49
256,1000,1.4,182.83,0.92,277.62
512,1000,1.5,340.48,0.94,542.21
1024,1000,1.68,608.17,0.99,1035.86
2048,1000,2.04,1003.27,1.08,1901.39
4096,1000,2.93,1400.48,1.25,3265.78
8192,1000,4.2,1952.18,1.61,5093.15
16384,1000,5.91,2771.39,2.32,7071.62
32768,1000,7.84,4176.89,3.73,8776.20
65536,640,11.03,5939.73,6.57,9978.88
131072,320,20.11,6518.5,12.23,10712.93
262144,160,30.7,8538.21,23.57,11121.99
524288,80,54.62,9598.56,46.24,11338.47
1048576,40,98.26,10670.79,91.58,11449.90
2097152,20,186.24,11260.16,182.26,11506.44
4194304,10,363.73,11531.46,363.62,11534.92
8388608,5,717.94,11684.32,726.34,11549.21
16777216,2,1425.7,11767.67,1451.77,11556.37
33554432,1,2885.27,11632.85,2902.64,11559.95
67108864,1,5859.0,11454.04,5804.39,11561.75
134217728,1,11630.83,11539.84,11607.88,11562.64
268435456,1,23086.43,11627.44,23214.85,11563.09
