#header_line 1: mpirun -np 2 --map-by ppr:2:socket --mca pml ob1 --mca btl openib,self --mca btl_openib_allow_ib 1 --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode009],[ct1pt-tnode010]
#header_line 3: 5.05, 11606.87
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,0.86,0.0,5.05,0.00
1,1000,0.89,1.13,5.05,0.20
2,1000,0.89,2.25,5.05,0.40
4,1000,0.89,4.5,5.05,0.79
8,1000,0.92,8.72,5.05,1.59
16,1000,0.92,17.44,5.05,3.17
32,1000,0.92,34.64,5.05,6.34
64,1000,0.94,67.92,5.05,12.67
128,1000,1.34,95.76,5.06,25.31
256,1000,1.4,182.83,5.07,50.52
512,1000,1.5,340.48,5.09,100.60
1024,1000,1.68,608.17,5.13,199.47
2048,1000,2.04,1003.27,5.22,392.19
4096,1000,2.93,1400.48,5.40,758.75
8192,1000,4.2,1952.18,5.75,1424.39
16384,1000,5.91,2771.39,6.46,2537.39
32768,1000,7.84,4176.89,7.87,4164.39
65536,640,11.03,5939.73,10.69,6129.57
131072,320,20.11,6518.5,16.34,8022.48
262144,160,30.7,8538.21,27.63,9487.42
524288,80,54.62,9598.56,50.22,10440.67
1048576,40,98.26,10670.79,95.39,10992.93
2097152,20,186.24,11260.16,185.73,11291.56
4194304,10,363.73,11531.46,366.41,11447.05
8388608,5,717.94,11684.32,727.77,11526.41
16777216,2,1425.7,11767.67,1450.50,11566.50
33554432,1,2885.27,11632.85,2895.96,11586.65
67108864,1,5859.0,11454.04,5786.87,11596.75
134217728,1,11630.83,11539.84,11568.69,11601.81
268435456,1,23086.43,11627.44,23132.33,11604.34
