#header_line 1: mpirun -np 2 --map-by ppr:2:socket --mca pml ob1 --mca btl tcp,self --mca btl_tcp_if_include br0 --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode007],[ct1pt-tnode010]
#header_line 3: 5.46, 5279.73
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,5.37,0.0,5.46,0.00
1,1000,5.46,0.18,5.46,0.18
2,1000,5.46,0.37,5.46,0.37
4,1000,5.46,0.73,5.46,0.73
8,1000,5.46,1.47,5.46,1.46
16,1000,5.46,2.93,5.46,2.93
32,1000,5.47,5.85,5.47,5.85
64,1000,5.49,11.66,5.47,11.70
128,1000,5.57,23.0,5.48,23.34
256,1000,5.59,45.77,5.51,46.47
512,1000,5.64,90.79,5.56,92.14
1024,1000,6.26,163.6,5.65,181.11
2048,1000,6.09,336.26,5.85,350.21
4096,1000,7.06,580.28,6.24,656.85
8192,1000,7.52,1089.43,7.01,1168.35
16384,1000,9.63,1701.15,8.56,1913.31
32768,1000,15.76,2079.73,11.67,2808.76
65536,640,29.57,2216.61,17.87,3666.81
131072,320,39.51,3318.58,30.29,4327.88
262144,160,54.06,4850.61,55.11,4756.65
524288,80,86.45,6065.07,104.76,5004.56
1048576,40,149.96,6993.07,204.06,5138.46
2097152,20,285.35,7353.28,402.67,5208.14
4194304,10,578.26,7254.74,799.88,5243.69
8388608,5,1458.38,5753.27,1594.29,5261.65
16777216,2,3154.23,5319.01,3183.13,5270.67
33554432,1,6408.57,5236.72,6360.79,5275.20
67108864,1,12751.22,5263.38,12716.12,5277.46
134217728,1,25446.44,5275.27,25426.78,5278.60
268435456,1,50235.46,5343.56,50848.11,5279.16
