#header_line 1: mpirun -np 2 --map-by ppr:2:socket --mca pml ob1 --mca btl tcp,self --mca btl_tcp_if_include ib0 --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode007],[ct1pt-tnode010]
#header_line 3: 5.42, 5270.80
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,5.35,0.0,5.42,0.00
1,1000,5.42,0.18,5.42,0.18
2,1000,5.43,0.37,5.42,0.37
4,1000,5.42,0.74,5.42,0.74
8,1000,5.42,1.48,5.42,1.48
16,1000,5.43,2.95,5.42,2.95
32,1000,5.43,5.89,5.43,5.90
64,1000,5.44,11.76,5.43,11.78
128,1000,5.51,23.23,5.44,23.51
256,1000,5.55,46.13,5.47,46.81
512,1000,5.59,91.59,5.52,92.80
1024,1000,6.2,165.27,5.61,182.39
2048,1000,6.05,338.57,5.81,352.58
4096,1000,6.97,587.92,6.20,660.95
8192,1000,7.46,1097.92,6.97,1174.61
16384,1000,9.58,1710.22,8.53,1921.10
32768,1000,15.66,2092.86,11.64,2815.87
65536,640,29.57,2217.03,17.85,3670.71
131072,320,39.38,3329.63,30.29,4327.58
262144,160,54.03,4853.79,55.16,4752.85
524288,80,86.42,6067.31,104.89,4998.44
1048576,40,149.69,7005.98,204.36,5131.01
2097152,20,285.3,7351.76,403.30,5199.97
4194304,10,579.87,7236.1,801.18,5235.14
8388608,5,1464.39,5730.01,1596.94,5252.91
16777216,2,3176.76,5282.16,3188.47,5261.84
33554432,1,6374.21,5264.48,6371.52,5266.32
67108864,1,12790.77,5247.47,12737.62,5268.56
134217728,1,25351.16,5294.74,25469.81,5269.68
268435456,1,50890.75,5276.49,50934.21,5270.24
