#header_line 1: mpirun -np 2 --map-by ppr:2:socket --mca pml ob1 --mca btl tcp,self --mca btl_tcp_if_include ib0 --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode007],[ct1pt-tnode010]
#header_line 3: -12.65, 5275.66
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,5.35,0.0,-12.65,-0.00
1,1000,5.42,0.18,-12.65,-0.08
2,1000,5.43,0.37,-12.65,-0.16
4,1000,5.42,0.74,-12.65,-0.32
8,1000,5.42,1.48,-12.65,-0.63
16,1000,5.43,2.95,-12.65,-1.26
32,1000,5.43,5.89,-12.65,-2.53
64,1000,5.44,11.76,-12.64,-5.06
128,1000,5.51,23.23,-12.63,-10.14
256,1000,5.55,46.13,-12.60,-20.31
512,1000,5.59,91.59,-12.56,-40.78
1024,1000,6.2,165.27,-12.46,-82.19
2048,1000,6.05,338.57,-12.27,-166.98
4096,1000,6.97,587.92,-11.88,-344.87
8192,1000,7.46,1097.92,-11.10,-737.98
16384,1000,9.58,1710.22,-9.55,-1716.01
32768,1000,15.66,2092.86,-6.44,-5086.49
65536,640,29.57,2217.03,-0.23,-283713.88
131072,320,39.38,3329.63,12.19,10751.23
262144,160,54.03,4853.79,37.04,7078.08
524288,80,86.42,6067.31,86.73,6045.38
1048576,40,149.69,7005.98,186.10,5634.35
2097152,20,285.3,7351.76,384.86,5449.11
4194304,10,579.87,7236.1,782.38,5360.98
8388608,5,1464.39,5730.01,1577.41,5317.98
16777216,2,3176.76,5282.16,3167.47,5296.73
33554432,1,6374.21,5264.48,6347.58,5286.17
67108864,1,12790.77,5247.47,12707.82,5280.91
134217728,1,25351.16,5294.74,25428.30,5278.28
268435456,1,50890.75,5276.49,50869.25,5276.97
