#header_line 1: mpirun -np 2 --map-by ppr:2:socket --mca pml ob1 --mca btl vader,self --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode009],[ct1pt-tnode010]
#header_line 3: 0.28, 3853.01
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,0.26,0.0,0.28,0.00
1,1000,0.28,3.54,0.28,3.57
2,1000,0.28,7.06,0.28,7.13
4,1000,0.28,14.18,0.28,14.23
8,1000,0.28,28.48,0.28,28.36
16,1000,0.3,52.82,0.28,56.31
32,1000,0.3,104.96,0.29,110.99
64,1000,0.34,189.51,0.30,215.77
128,1000,0.39,325.43,0.31,408.66
256,1000,0.47,549.25,0.35,738.94
512,1000,0.62,822.84,0.41,1240.06
1024,1000,0.71,1438.42,0.55,1876.26
2048,1000,0.87,2359.42,0.81,2523.62
4096,1000,1.79,2293.63,1.34,3049.74
8192,1000,2.11,3891.93,2.41,3404.64
16384,1000,2.71,6061.49,4.53,3614.97
32768,1000,3.79,8662.42,8.78,3730.20
65536,640,5.48,11969.52,17.29,3790.61
131072,320,10.2,12876.89,34.30,3821.56
262144,160,19.04,13772.42,68.32,3837.22
524288,80,39.3,13345.31,136.35,3845.10
1048576,40,91.23,11497.16,272.42,3849.05
2097152,20,221.42,9473.36,544.57,3851.03
4194304,10,519.98,8088.9,1088.86,3852.02
8388608,5,1684.63,4979.65,2177.44,3852.51
16777216,2,4158.86,4034.12,4354.59,3852.76
33554432,1,8896.85,3772.24,8708.91,3852.89
67108864,1,17530.79,3828.06,17417.54,3852.95
134217728,1,34633.83,3875.34,34834.79,3852.98
268435456,1,68208.19,3936.42,69669.31,3852.99
