#header_line 1: mpirun -np 2 --map-by ppr:2:socket --mca pml ob1 --mca btl vader,self --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode009],[ct1pt-tnode010]
#header_line 3: -36.24, 3915.25
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,0.26,0.0,-36.24,-0.00
1,1000,0.28,3.54,-36.24,-0.03
2,1000,0.28,7.06,-36.24,-0.06
4,1000,0.28,14.18,-36.24,-0.11
8,1000,0.28,28.48,-36.24,-0.22
16,1000,0.3,52.82,-36.24,-0.44
32,1000,0.3,104.96,-36.24,-0.88
64,1000,0.34,189.51,-36.23,-1.77
128,1000,0.39,325.43,-36.21,-3.53
256,1000,0.47,549.25,-36.18,-7.08
512,1000,0.62,822.84,-36.11,-14.18
1024,1000,0.71,1438.42,-35.98,-28.46
2048,1000,0.87,2359.42,-35.72,-57.33
4096,1000,1.79,2293.63,-35.20,-116.37
8192,1000,2.11,3891.93,-34.15,-239.86
16384,1000,2.71,6061.49,-32.06,-511.04
32768,1000,3.79,8662.42,-27.88,-1175.51
65536,640,5.48,11969.52,-19.51,-3359.74
131072,320,10.2,12876.89,-2.77,-47358.63
262144,160,19.04,13772.42,30.71,8536.21
524288,80,39.3,13345.31,97.66,5368.27
1048576,40,91.23,11497.16,231.57,4528.05
2097152,20,221.42,9473.36,499.39,4199.41
4194304,10,519.98,8088.9,1035.03,4052.36
8388608,5,1684.63,4979.65,2106.30,3982.63
16777216,2,4158.86,4034.12,4248.85,3948.65
33554432,1,8896.85,3772.24,8533.94,3931.88
67108864,1,17530.79,3828.06,17104.12,3923.55
134217728,1,34633.83,3875.34,34244.49,3919.40
268435456,1,68208.19,3936.42,68525.22,3917.32
