#header_line 1: mpirun -np 2 --map-by ppr:2:socket --mca pml ucx --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode009],[ct1pt-tnode010]
#header_line 3: 0.20, 5900.44
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,0.21,0.0,0.20,0.00
1,1000,0.21,4.84,0.20,5.00
2,1000,0.2,10.1,0.20,9.98
4,1000,0.2,20.33,0.20,19.93
8,1000,0.2,40.46,0.20,39.73
16,1000,0.2,81.09,0.20,78.93
32,1000,0.23,138.55,0.21,155.78
64,1000,0.23,280.21,0.21,303.54
128,1000,0.32,402.11,0.22,577.37
256,1000,0.33,767.39,0.24,1051.82
512,1000,0.4,1292.32,0.29,1785.38
1024,1000,0.5,2026.25,0.37,2741.29
2048,1000,0.75,2711.02,0.55,3743.42
4096,1000,1.13,3612.85,0.89,4580.70
8192,1000,1.9,4308.11,1.59,5157.49
16384,1000,3.03,5419.04,2.98,5504.00
32768,1000,5.0,6570.01,5.75,5695.33
65536,640,8.53,7689.23,11.31,5796.07
131072,320,15.53,8448.5,22.41,5847.79
262144,160,13.56,19425.05,44.63,5874.00
524288,80,24.64,21440.94,89.06,5887.19
1048576,40,53.89,19491.12,177.91,5893.81
2097152,20,142.87,14686.97,355.62,5897.12
4194304,10,324.18,12942.37,711.05,5898.78
8388608,5,957.91,8757.45,1421.89,5899.61
16777216,2,2516.39,6667.24,2843.58,5900.02
33554432,1,5630.79,5960.97,5686.97,5900.23
67108864,1,11542.82,5816.61,11373.74,5900.34
134217728,1,22844.17,5877.98,22747.27,5900.39
268435456,1,45164.13,5946.21,45494.34,5900.41
