#header_line 1: mpirun -np 2 --map-by ppr:2:socket --mca pml ucx --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode009],[ct1pt-tnode010]
#header_line 3: -48.14, 5919.29
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,0.21,0.0,-48.14,-0.00
1,1000,0.21,4.84,-48.14,-0.02
2,1000,0.2,10.1,-48.14,-0.04
4,1000,0.2,20.33,-48.14,-0.08
8,1000,0.2,40.46,-48.14,-0.17
16,1000,0.2,81.09,-48.13,-0.33
32,1000,0.23,138.55,-48.13,-0.66
64,1000,0.23,280.21,-48.13,-1.33
128,1000,0.32,402.11,-48.12,-2.66
256,1000,0.33,767.39,-48.09,-5.32
512,1000,0.4,1292.32,-48.05,-10.66
1024,1000,0.5,2026.25,-47.96,-21.35
2048,1000,0.75,2711.02,-47.79,-42.85
4096,1000,1.13,3612.85,-47.45,-86.33
8192,1000,1.9,4308.11,-46.75,-175.22
16384,1000,3.03,5419.04,-45.37,-361.12
32768,1000,5.0,6570.01,-42.60,-769.17
65536,640,8.53,7689.23,-37.07,-1768.09
131072,320,15.53,8448.5,-25.99,-5042.34
262144,160,13.56,19425.05,-3.85,-68070.20
524288,80,24.64,21440.94,40.44,12966.09
1048576,40,53.89,19491.12,129.01,8127.98
2097152,20,142.87,14686.97,306.15,6849.99
4194304,10,324.18,12942.37,660.45,6350.72
8388608,5,957.91,8757.45,1369.03,6127.42
16777216,2,2516.39,6667.24,2786.19,6021.56
33554432,1,5630.79,5960.97,5620.52,5969.98
67108864,1,11542.82,5816.61,11289.18,5944.53
134217728,1,22844.17,5877.98,22626.51,5931.88
268435456,1,45164.13,5946.21,45301.15,5925.58
