#header_line 1: mpirun -np 2 --map-by ppr:1:node --mca pml ob1 --mca btl openib,self --mca btl_openib_allow_ib 1 --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode009],[ct1pt-tnode010]
#header_line 3: 1.20, 11977.33
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,1.17,0.0,1.20,0.00
1,1000,1.19,0.84,1.20,0.83
2,1000,1.19,1.68,1.20,1.67
4,1000,1.19,3.36,1.20,3.33
8,1000,1.23,6.51,1.20,6.66
16,1000,1.23,13.06,1.20,13.32
32,1000,1.23,25.96,1.20,26.61
64,1000,1.25,51.24,1.21,53.10
128,1000,1.63,78.59,1.21,105.73
256,1000,1.69,151.26,1.22,209.60
512,1000,1.81,283.76,1.24,411.99
1024,1000,2.0,511.96,1.29,796.58
2048,1000,2.38,862.16,1.37,1493.81
4096,1000,3.4,1204.43,1.54,2656.33
8192,1000,4.71,1738.47,1.88,4348.29
16384,1000,7.19,2278.7,2.57,6380.27
32768,1000,9.32,3518.09,3.94,8325.55
65536,640,12.33,5315.76,6.67,9823.03
131072,320,22.08,5937.11,12.14,10793.74
262144,160,32.98,7949.25,23.09,11354.77
524288,80,55.79,9401.09,44.97,11657.75
1048576,40,98.66,10628.49,88.75,11815.38
2097152,20,185.95,11278.17,176.29,11895.80
4194304,10,360.16,11645.68,351.39,11936.43
8388608,5,708.52,11839.65,701.57,11956.84
16777216,2,1405.96,11932.99,1401.95,11967.08
33554432,1,2809.62,11942.69,2802.70,11972.20
67108864,1,5604.96,11973.12,5604.19,11974.77
134217728,1,11192.06,11992.23,11207.18,11976.05
268435456,1,22367.2,12001.3,22413.16,11976.69
