#header_line 1: mpirun -np 2 --map-by ppr:1:node --mca pml ob1 --mca btl openib,self --mca btl_openib_allow_ib 1 --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode009],[ct1pt-tnode010]
#header_line 3: 5.56, 12001.60
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,1.17,0.0,5.56,0.00
1,1000,1.19,0.84,5.56,0.18
2,1000,1.19,1.68,5.56,0.36
4,1000,1.19,3.36,5.56,0.72
8,1000,1.23,6.51,5.56,1.44
16,1000,1.23,13.06,5.56,2.88
32,1000,1.23,25.96,5.56,5.75
64,1000,1.25,51.24,5.57,11.50
128,1000,1.63,78.59,5.57,22.98
256,1000,1.69,151.26,5.58,45.87
512,1000,1.81,283.76,5.60,91.39
1024,1000,2.0,511.96,5.65,181.39
2048,1000,2.38,862.16,5.73,357.38
4096,1000,3.4,1204.43,5.90,694.10
8192,1000,4.71,1738.47,6.24,1312.30
16384,1000,7.19,2278.7,6.93,2365.91
32768,1000,9.32,3518.09,8.29,3952.62
65536,640,12.33,5315.76,11.02,5946.74
131072,320,22.08,5937.11,16.48,7952.86
262144,160,32.98,7949.25,27.40,9566.49
524288,80,55.79,9401.09,49.24,10646.58
1048576,40,98.66,10628.49,92.93,11283.55
2097152,20,185.95,11278.17,180.30,11631.51
4194304,10,360.16,11645.68,355.04,11813.65
8388608,5,708.52,11839.65,704.52,11906.88
16777216,2,1405.96,11932.99,1403.47,11954.05
33554432,1,2809.62,11942.69,2801.39,11977.78
67108864,1,5604.96,11973.12,5597.22,11989.68
134217728,1,11192.06,11992.23,11188.88,11995.63
268435456,1,22367.2,12001.3,22372.20,11998.62
