#header_line 1: mpirun -np 2 --map-by ppr:1:node --mca pml ob1 --mca btl self,tcp --mca btl_tcp_if_include br0 --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode007],[ct1pt-tnode010]
#header_line 3: 16.00, 2586.39
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,16.06,0.0,16.00,0.00
1,1000,16.01,0.06,16.00,0.06
2,1000,16.05,0.12,16.00,0.12
4,1000,15.98,0.25,16.00,0.25
8,1000,15.97,0.5,16.00,0.50
16,1000,16.06,1.0,16.01,1.00
32,1000,16.12,1.99,16.01,2.00
64,1000,16.36,3.92,16.02,3.99
128,1000,16.85,7.6,16.05,7.98
256,1000,16.84,15.22,16.10,15.90
512,1000,17.17,29.83,16.20,31.61
1024,1000,17.7,57.92,16.40,62.45
2048,1000,39.23,52.22,16.79,121.96
4096,1000,39.64,103.36,17.58,232.94
8192,1000,40.79,200.86,19.17,427.39
16384,1000,43.05,380.74,22.33,733.57
32768,1000,51.01,643.43,28.67,1142.96
65536,640,151.22,434.34,41.34,1585.34
131072,320,156.01,846.76,66.68,1965.76
262144,160,203.63,1291.24,117.36,2233.77
524288,80,297.55,1770.36,218.71,2397.18
1048576,40,489.87,2147.3,421.42,2488.19
2097152,20,875.25,2403.74,826.84,2536.34
4194304,9,1683.28,2509.72,1637.68,2561.12
8388608,4,3409.63,2493.76,3259.37,2573.69
16777216,2,6681.18,2544.38,6502.73,2580.03
33554432,1,13298.67,2559.41,12989.46,2583.20
67108864,1,26290.42,2586.56,25962.92,2584.80
134217728,1,52364.22,2597.08,51909.85,2585.59
268435456,1,104527.42,2602.5,103803.69,2585.99
