#header_line 1: mpirun -np 2 --map-by ppr:1:node --mca pml ob1 --mca btl self,tcp --mca btl_tcp_if_include br0 --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode007],[ct1pt-tnode010]
#header_line 3: 58.61, 2567.77
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,16.06,0.0,58.61,0.00
1,1000,16.01,0.06,58.61,0.02
2,1000,16.05,0.12,58.61,0.03
4,1000,15.98,0.25,58.61,0.07
8,1000,15.97,0.5,58.61,0.14
16,1000,16.06,1.0,58.61,0.27
32,1000,16.12,1.99,58.62,0.55
64,1000,16.36,3.92,58.63,1.09
128,1000,16.85,7.6,58.66,2.18
256,1000,16.84,15.22,58.71,4.36
512,1000,17.17,29.83,58.81,8.71
1024,1000,17.7,57.92,59.01,17.35
2048,1000,39.23,52.22,59.41,34.47
4096,1000,39.64,103.36,60.20,68.04
8192,1000,40.79,200.86,61.80,132.56
16384,1000,43.05,380.74,64.99,252.11
32768,1000,51.01,643.43,71.37,459.13
65536,640,151.22,434.34,84.13,778.98
131072,320,156.01,846.76,109.65,1195.33
262144,160,203.63,1291.24,160.70,1631.28
524288,80,297.55,1770.36,262.79,1995.09
1048576,40,489.87,2147.3,466.97,2245.49
2097152,20,875.25,2403.74,875.33,2395.84
4194304,9,1683.28,2509.72,1692.05,2478.83
8388608,4,3409.63,2493.76,3325.50,2522.51
16777216,2,6681.18,2544.38,6592.39,2544.94
33554432,1,13298.67,2559.41,13126.17,2556.30
67108864,1,26290.42,2586.56,26193.73,2562.02
134217728,1,52364.22,2597.08,52328.86,2564.89
268435456,1,104527.42,2602.5,104599.11,2566.33
