#header_line 1: mpirun -np 2 --map-by ppr:1:node --mca pml ob1 --mca btl self,tcp --mca btl_tcp_if_include ib0 --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode007],[ct1pt-tnode010]
#header_line 3: 10.21, 2715.67
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,10.25,0.0,10.21,0.00
1,1000,10.24,0.1,10.21,0.10
2,1000,10.26,0.19,10.21,0.20
4,1000,10.18,0.4,10.21,0.39
8,1000,10.16,0.79,10.21,0.78
16,1000,10.12,1.59,10.22,1.57
32,1000,9.84,3.26,10.22,3.13
64,1000,9.84,6.53,10.23,6.25
128,1000,9.73,13.19,10.26,12.48
256,1000,9.77,26.28,10.30,24.84
512,1000,9.89,51.96,10.40,49.24
1024,1000,10.14,101.67,10.59,96.72
2048,1000,11.6,176.78,10.96,186.79
4096,1000,12.57,325.92,11.72,349.54
8192,1000,14.38,569.76,13.23,619.36
16384,1000,17.77,922.17,16.24,1008.67
32768,1000,27.77,1179.9,22.28,1470.98
65536,640,59.85,1095.09,34.34,1908.30
131072,320,84.68,1548.24,58.48,2241.50
262144,160,147.0,1800.87,106.74,2455.91
524288,80,219.84,2401.79,203.27,2579.27
1048576,40,369.86,2850.51,396.33,2645.71
2097152,20,681.53,3089.01,782.45,2680.23
4194304,10,1376.67,3065.46,1554.69,2697.84
8388608,5,2943.91,2859.04,3099.17,2706.72
16777216,2,6019.22,2794.62,6188.14,2711.19
33554432,1,12506.17,2688.84,12366.07,2713.43
67108864,1,25005.08,2689.49,24721.93,2714.55
134217728,1,49281.95,2729.56,49433.64,2715.11
268435456,1,97625.04,2754.8,98857.07,2715.39
