#header_line 1: mpirun -np 2 --map-by ppr:1:node --mca pml ob1 --mca btl self,tcp --mca btl_tcp_if_include ib0 --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode007],[ct1pt-tnode010]
#header_line 3: 24.40, 2742.03
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,10.25,0.0,24.40,0.00
1,1000,10.24,0.1,24.40,0.04
2,1000,10.26,0.19,24.40,0.08
4,1000,10.18,0.4,24.40,0.16
8,1000,10.16,0.79,24.40,0.33
16,1000,10.12,1.59,24.41,0.66
32,1000,9.84,3.26,24.41,1.31
64,1000,9.84,6.53,24.42,2.62
128,1000,9.73,13.19,24.45,5.24
256,1000,9.77,26.28,24.49,10.45
512,1000,9.89,51.96,24.59,20.82
1024,1000,10.14,101.67,24.77,41.33
2048,1000,11.6,176.78,25.15,81.44
4096,1000,12.57,325.92,25.89,158.18
8192,1000,14.38,569.76,27.39,299.11
16384,1000,17.77,922.17,30.38,539.38
32768,1000,27.77,1179.9,36.35,901.44
65536,640,59.85,1095.09,48.30,1356.83
131072,320,84.68,1548.24,72.20,1815.37
262144,160,147.0,1800.87,120.00,2184.49
524288,80,219.84,2401.79,215.60,2431.71
1048576,40,369.86,2850.51,406.81,2577.56
2097152,20,681.53,3089.01,789.22,2657.25
4194304,10,1376.67,3065.46,1554.04,2698.98
8388608,5,2943.91,2859.04,3083.67,2720.33
16777216,2,6019.22,2794.62,6142.94,2731.14
33554432,1,12506.17,2688.84,12261.48,2736.57
67108864,1,25005.08,2689.49,24498.56,2739.30
134217728,1,49281.95,2729.56,48972.73,2740.66
268435456,1,97625.04,2754.8,97921.05,2741.35
