#header_line 1: mpirun -np 2 --map-by ppr:1:node --mca pml ucx --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode009],[ct1pt-tnode010]
#header_line 3: 0.98, 12184.94
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,0.98,0.0,0.98,0.00
1,1000,0.98,1.02,0.98,1.02
2,1000,0.99,2.02,0.98,2.04
4,1000,0.99,4.05,0.98,4.08
8,1000,0.98,8.14,0.98,8.16
16,1000,0.98,16.26,0.98,16.30
32,1000,1.0,31.96,0.98,32.57
64,1000,1.16,55.16,0.99,64.96
128,1000,1.2,106.9,0.99,129.23
256,1000,1.42,179.94,1.00,255.74
512,1000,1.5,342.17,1.02,500.97
1024,1000,1.66,618.21,1.06,962.37
2048,1000,2.32,883.18,1.15,1783.85
4096,1000,3.2,1282.11,1.32,3112.10
8192,1000,4.48,1829.45,1.65,4957.92
16384,1000,6.29,2605.3,2.32,7048.06
32768,1000,8.47,3866.74,3.67,8930.51
65536,640,12.41,5281.06,6.36,10306.93
131072,320,18.71,7006.42,11.74,11167.53
262144,160,32.66,8025.75,22.49,11654.07
524288,80,54.77,9575.21,44.01,11913.59
1048576,40,97.56,10748.25,87.04,12047.74
2097152,20,182.9,11467.18,173.09,12115.95
4194304,10,352.65,11893.81,345.20,12150.35
8388608,5,693.35,12098.73,689.42,12167.62
16777216,2,1379.92,12158.11,1377.86,12176.27
33554432,1,2757.63,12167.91,2754.74,12180.61
67108864,1,5500.87,12199.7,5508.51,12182.77
134217728,1,11010.55,12189.93,11016.03,12183.86
268435456,1,22035.0,12182.23,22031.08,12184.40
