#header_line 1: mpirun -np 2 --map-by ppr:1:node --mca pml ucx --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode009],[ct1pt-tnode010]
#header_line 3: 3.86, 12187.27
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,0.98,0.0,3.86,0.00
1,1000,0.98,1.02,3.86,0.26
2,1000,0.99,2.02,3.86,0.52
4,1000,0.99,4.05,3.86,1.04
8,1000,0.98,8.14,3.86,2.07
16,1000,0.98,16.26,3.86,4.14
32,1000,1.0,31.96,3.86,8.29
64,1000,1.16,55.16,3.86,16.56
128,1000,1.2,106.9,3.87,33.07
256,1000,1.42,179.94,3.88,65.97
512,1000,1.5,342.17,3.90,131.23
1024,1000,1.66,618.21,3.94,259.66
2048,1000,2.32,883.18,4.03,508.49
4096,1000,3.2,1282.11,4.20,976.25
8192,1000,4.48,1829.45,4.53,1807.69
16384,1000,6.29,2605.3,5.20,3148.40
32768,1000,8.47,3866.74,6.55,5004.07
65536,640,12.41,5281.06,9.24,7094.96
131072,320,18.71,7006.42,14.61,8968.69
262144,160,32.66,8025.75,25.37,10333.15
524288,80,54.77,9575.21,46.88,11183.88
1048576,40,97.56,10748.25,89.90,11664.04
2097152,20,182.9,11467.18,175.94,11919.91
4194304,10,352.65,11893.81,348.01,12052.11
8388608,5,693.35,12098.73,692.17,12119.31
16777216,2,1379.92,12158.11,1380.48,12153.19
33554432,1,2757.63,12167.91,2757.10,12170.21
67108864,1,5500.87,12199.7,5510.33,12178.73
134217728,1,11010.55,12189.93,11016.81,12183.00
268435456,1,22035.0,12182.23,22029.76,12185.13
