#header_line 1: mpirun -np 2 --map-by ppr:1:socket --mca pml ob1 --mca btl openib,self --mca btl_openib_allow_ib 1 --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode009],[ct1pt-tnode010]
#header_line 3: 1.02, 11519.34
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,0.98,0.0,1.02,0.00
1,1000,1.01,0.99,1.02,0.98
2,1000,1.01,1.98,1.02,1.96
4,1000,1.01,3.96,1.02,3.92
8,1000,1.04,7.69,1.02,7.84
16,1000,1.04,15.37,1.02,15.66
32,1000,1.04,30.68,1.02,31.29
64,1000,1.11,57.67,1.03,62.41
128,1000,1.57,81.47,1.03,124.14
256,1000,1.66,154.37,1.04,245.63
512,1000,1.8,283.78,1.06,481.00
1024,1000,2.03,504.4,1.11,923.44
2048,1000,2.44,838.57,1.20,1709.82
4096,1000,3.31,1237.34,1.38,2977.66
8192,1000,4.71,1737.7,1.73,4732.11
16384,1000,6.15,2664.01,2.44,6708.42
32768,1000,8.13,4031.04,3.86,8479.00
65536,640,11.23,5837.48,6.71,9768.06
131072,320,20.44,6413.61,12.40,10571.66
262144,160,31.05,8443.05,23.78,11025.17
524288,80,55.06,9521.12,46.53,11266.84
1048576,40,98.9,10602.29,92.05,11391.69
2097152,20,186.41,11250.09,183.07,11455.16
4194304,10,362.85,11559.42,365.13,11487.16
8388608,5,719.27,11662.69,729.24,11503.23
16777216,2,1434.71,11693.79,1457.46,11511.28
33554432,1,2882.65,11640.78,2913.90,11515.31
67108864,1,5890.81,11392.16,5826.78,11517.32
134217728,1,11699.44,11472.16,11652.53,11518.33
268435456,1,23196.54,11572.24,23304.04,11518.84
