#header_line 1: mpirun -np 2 --map-by ppr:1:socket --mca pml ob1 --mca btl openib,self --mca btl_openib_allow_ib 1 --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode009],[ct1pt-tnode010]
#header_line 3: 4.84, 11549.55
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,0.98,0.0,4.84,0.00
1,1000,1.01,0.99,4.84,0.21
2,1000,1.01,1.98,4.84,0.41
4,1000,1.01,3.96,4.84,0.83
8,1000,1.04,7.69,4.84,1.65
16,1000,1.04,15.37,4.84,3.30
32,1000,1.04,30.68,4.85,6.60
64,1000,1.11,57.67,4.85,13.20
128,1000,1.57,81.47,4.85,26.37
256,1000,1.66,154.37,4.86,52.63
512,1000,1.8,283.78,4.89,104.77
1024,1000,2.03,504.4,4.93,207.67
2048,1000,2.44,838.57,5.02,408.00
4096,1000,3.31,1237.34,5.20,788.15
8192,1000,4.71,1737.7,5.55,1475.60
16384,1000,6.15,2664.01,6.26,2616.87
32768,1000,8.13,4031.04,7.68,4266.94
65536,640,11.23,5837.48,10.52,6231.63
131072,320,20.44,6413.61,16.19,8095.36
262144,160,31.05,8443.05,27.54,9518.78
524288,80,55.06,9521.12,50.24,10436.29
1048576,40,98.9,10602.29,95.63,10964.74
2097152,20,186.41,11250.09,186.42,11249.55
4194304,10,362.85,11559.42,368.00,11397.58
8388608,5,719.27,11662.69,731.16,11473.06
16777216,2,1434.71,11693.79,1457.47,11511.18
33554432,1,2882.65,11640.78,2910.10,11530.33
67108864,1,5890.81,11392.16,5815.36,11539.94
134217728,1,11699.44,11472.16,11625.87,11544.74
268435456,1,23196.54,11572.24,23246.91,11547.15
