#header_line 1: mpirun -np 2 --map-by ppr:1:socket --mca pml ob1 --mca btl tcp,self --mca btl_tcp_if_include br0 --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode007],[ct1pt-tnode010]
#header_line 3: 7.97, 3225.88
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,7.93,0.0,7.97,0.00
1,1000,7.98,0.13,7.97,0.13
2,1000,7.97,0.25,7.97,0.25
4,1000,7.98,0.5,7.97,0.50
8,1000,7.97,1.0,7.97,1.00
16,1000,7.98,2.0,7.97,2.01
32,1000,7.99,4.01,7.98,4.01
64,1000,8.0,8.0,7.99,8.01
128,1000,8.42,15.21,8.01,15.98
256,1000,8.44,30.31,8.05,31.80
512,1000,8.48,60.4,8.13,62.99
1024,1000,9.42,108.74,8.29,123.56
2048,1000,9.07,225.84,8.60,238.00
4096,1000,10.7,382.93,9.24,443.30
8192,1000,11.62,705.35,10.51,779.49
16384,1000,15.41,1063.35,13.05,1255.58
32768,1000,25.83,1268.68,18.13,1807.61
65536,640,55.73,1176.0,28.29,2316.93
131072,320,77.3,1695.62,48.60,2696.88
262144,160,111.89,2343.02,89.23,2937.75
524288,80,174.42,3006.02,170.50,3075.08
1048576,40,310.15,3381.01,333.02,3148.68
2097152,20,610.49,3435.32,658.07,3186.81
4194304,10,1243.47,3373.16,1308.17,3206.23
8388608,5,2458.05,3412.89,2608.38,3216.02
16777216,2,5116.18,3279.3,5208.79,3220.94
33554432,1,10461.34,3207.52,10409.61,3223.41
67108864,1,20785.4,3229.08,20811.24,3224.64
134217728,1,41519.74,3232.84,41614.52,3225.26
268435456,1,83017.56,3234.06,83221.06,3225.57
