#header_line 1: mpirun -np 2 --map-by ppr:1:socket --mca pml ob1 --mca btl tcp,self --mca btl_tcp_if_include br0 --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode007],[ct1pt-tnode010]
#header_line 3: 2.11, 3233.20
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,7.93,0.0,2.11,0.00
1,1000,7.98,0.13,2.11,0.47
2,1000,7.97,0.25,2.11,0.95
4,1000,7.98,0.5,2.11,1.89
8,1000,7.97,1.0,2.11,3.78
16,1000,7.98,2.0,2.12,7.56
32,1000,7.99,4.01,2.12,15.09
64,1000,8.0,8.0,2.13,30.03
128,1000,8.42,15.21,2.15,59.51
256,1000,8.44,30.31,2.19,116.88
512,1000,8.48,60.4,2.27,225.60
1024,1000,9.42,108.74,2.43,421.77
2048,1000,9.07,225.84,2.74,746.19
4096,1000,10.7,382.93,3.38,1212.54
8192,1000,11.62,705.35,4.64,1763.66
16384,1000,15.41,1063.35,7.18,2282.34
32768,1000,25.83,1268.68,12.25,2675.80
65536,640,55.73,1176.0,22.38,2928.21
131072,320,77.3,1695.62,42.65,3073.16
262144,160,111.89,2343.02,83.19,3151.15
524288,80,174.42,3006.02,164.27,3191.64
1048576,40,310.15,3381.01,326.43,3212.29
2097152,20,610.49,3435.32,650.74,3222.71
4194304,10,1243.47,3373.16,1299.37,3227.94
8388608,5,2458.05,3412.89,2596.64,3230.57
16777216,2,5116.18,3279.3,5191.16,3231.88
33554432,1,10461.34,3207.52,10380.21,3232.54
67108864,1,20785.4,3229.08,20758.31,3232.87
134217728,1,41519.74,3232.84,41514.50,3233.03
268435456,1,83017.56,3234.06,83026.90,3233.11
