#header_line 1: mpirun -np 2 --map-by ppr:1:socket --mca pml ob1 --mca btl tcp,self --mca btl_tcp_if_include ib0 --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode007],[ct1pt-tnode010]
#header_line 3: 7.95, 3218.60
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,7.89,0.0,7.95,0.00
1,1000,7.95,0.13,7.95,0.13
2,1000,7.94,0.25,7.95,0.25
4,1000,7.95,0.5,7.95,0.50
8,1000,7.94,1.01,7.95,1.01
16,1000,7.95,2.02,7.95,2.01
32,1000,7.95,4.02,7.96,4.02
64,1000,7.97,8.03,7.97,8.03
128,1000,8.4,15.25,7.99,16.02
256,1000,8.42,30.4,8.03,31.88
512,1000,8.46,60.51,8.11,63.14
1024,1000,9.4,109.0,8.27,123.85
2048,1000,9.0,227.64,8.59,238.52
4096,1000,10.67,384.12,9.22,444.13
8192,1000,11.59,707.12,10.50,780.55
16384,1000,15.38,1065.53,13.04,1256.40
32768,1000,25.84,1268.24,18.13,1807.31
65536,640,55.65,1177.77,28.31,2314.81
131072,320,77.27,1696.46,48.67,2692.89
262144,160,111.76,2345.68,89.40,2932.37
524288,80,174.22,3009.45,170.84,3068.83
1048576,40,310.16,3380.83,333.74,3141.93
2097152,20,610.05,3437.73,659.52,3179.80
4194304,10,1244.02,3371.68,1311.10,3199.08
8388608,5,2464.4,3403.99,2614.24,3208.81
16777216,2,5114.9,3280.17,5220.53,3213.70
33554432,1,10484.84,3200.39,10433.11,3216.15
67108864,1,20761.28,3232.69,20858.28,3217.37
134217728,1,41617.46,3225.85,41708.60,3217.99
268435456,1,83510.84,3215.47,83409.26,3218.29
