#header_line 1: mpirun -np 2 --map-by ppr:1:socket --mca pml ob1 --mca btl tcp,self --mca btl_tcp_if_include ib0 --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode007],[ct1pt-tnode010]
#header_line 3: -5.82, 3217.07
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,7.89,0.0,-5.82,-0.00
1,1000,7.95,0.13,-5.82,-0.17
2,1000,7.94,0.25,-5.82,-0.34
4,1000,7.95,0.5,-5.82,-0.69
8,1000,7.94,1.01,-5.82,-1.38
16,1000,7.95,2.02,-5.81,-2.75
32,1000,7.95,4.02,-5.81,-5.51
64,1000,7.97,8.03,-5.80,-11.04
128,1000,8.4,15.25,-5.78,-22.15
256,1000,8.42,30.4,-5.74,-44.60
512,1000,8.46,60.51,-5.66,-90.46
1024,1000,9.4,109.0,-5.50,-186.16
2048,1000,9.0,227.64,-5.18,-395.18
4096,1000,10.67,384.12,-4.55,-901.05
8192,1000,11.59,707.12,-3.27,-2503.19
16384,1000,15.38,1065.53,-0.73,-22561.18
32768,1000,25.84,1268.24,4.37,7504.18
65536,640,55.65,1177.77,14.55,4503.48
131072,320,77.27,1696.46,34.92,3753.10
262144,160,111.76,2345.68,75.67,3464.47
524288,80,174.22,3009.45,157.15,3336.19
1048576,40,310.16,3380.83,320.12,3275.55
2097152,20,610.05,3437.73,646.06,3246.04
4194304,10,1244.02,3371.68,1297.95,3231.49
8388608,5,2464.4,3403.99,2601.71,3224.26
16777216,2,5114.9,3280.17,5209.25,3220.66
33554432,1,10484.84,3200.39,10424.31,3218.86
67108864,1,20761.28,3232.69,20854.45,3217.96
134217728,1,41617.46,3225.85,41714.71,3217.52
268435456,1,83510.84,3215.47,83435.24,3217.29
