#header_line 1: mpirun -np 2 --map-by ppr:1:socket --mca pml ob1 --mca btl vader,self --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode009],[ct1pt-tnode010]
#header_line 3: -105.46, 3202.93
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,0.55,0.0,-105.46,-0.00
1,1000,0.62,1.6,-105.46,-0.01
2,1000,0.62,3.21,-105.46,-0.02
4,1000,0.62,6.42,-105.46,-0.04
8,1000,0.62,12.82,-105.46,-0.08
16,1000,0.66,24.35,-105.46,-0.15
32,1000,0.72,44.74,-105.45,-0.30
64,1000,0.83,77.49,-105.44,-0.61
128,1000,1.05,122.59,-105.42,-1.21
256,1000,1.2,213.65,-105.38,-2.43
512,1000,1.09,472.61,-105.30,-4.86
1024,1000,1.42,724.08,-105.14,-9.74
2048,1000,1.83,1122.55,-104.82,-19.54
4096,1000,2.72,1507.14,-104.18,-39.32
8192,1000,3.29,2492.24,-102.90,-79.61
16384,1000,3.69,4444.13,-100.35,-163.28
32768,1000,5.01,6555.79,-95.23,-344.09
65536,640,6.22,10552.68,-85.00,-771.02
131072,320,11.24,11684.06,-64.54,-2030.93
262144,160,19.83,13223.7,-23.62,-11100.54
524288,80,39.93,13133.63,58.23,9003.79
1048576,40,92.24,11371.42,221.92,4725.02
2097152,20,221.81,9456.26,549.30,3817.86
4194304,10,448.5,9372.42,1204.06,3483.46
8388608,5,1145.75,7321.79,2513.58,3337.31
16777216,2,4189.48,4004.81,5132.63,3268.74
33554432,1,10952.53,3064.85,10370.71,3235.50
67108864,1,21847.46,3071.71,20846.89,3219.13
134217728,1,42112.57,3187.12,41799.23,3211.01
268435456,1,83340.86,3222.67,83703.93,3206.96
