#header_line 1: mpirun -np 2 --map-by ppr:1:socket --mca pml ucx --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode009],[ct1pt-tnode010]
#header_line 3: 0.40, 5023.73
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,0.41,0.0,0.40,0.00
1,1000,0.4,2.47,0.40,2.50
2,1000,0.4,5.0,0.40,5.00
4,1000,0.4,10.01,0.40,9.98
8,1000,0.4,20.0,0.40,19.92
16,1000,0.4,39.89,0.40,39.68
32,1000,0.56,56.86,0.41,78.75
64,1000,0.56,114.22,0.41,155.06
128,1000,0.9,141.82,0.43,300.84
256,1000,0.94,271.3,0.45,567.68
512,1000,1.14,448.35,0.50,1020.09
1024,1000,1.34,763.86,0.60,1695.83
2048,1000,2.11,972.38,0.81,2535.70
4096,1000,3.01,1363.47,1.22,3370.28
8192,1000,4.86,1685.75,2.03,4034.15
16384,1000,7.61,2154.24,3.66,4474.89
32768,1000,13.2,2483.77,6.92,4733.45
65536,640,24.82,2641.18,13.45,4874.27
131072,320,46.71,2807.76,26.49,4947.87
262144,160,14.02,18751.04,52.58,4985.51
524288,80,25.68,20549.89,104.76,5004.55
1048576,40,55.55,18922.69,209.12,5014.12
2097152,20,142.41,14731.57,417.85,5018.92
4194304,10,308.81,13585.96,835.30,5021.32
8388608,5,701.43,11960.89,1670.20,5022.53
16777216,2,2232.94,7513.88,3339.99,5023.13
33554432,1,6463.41,5194.97,6679.59,5023.43
67108864,1,13593.02,4939.63,13358.77,5023.58
134217728,1,27021.6,4968.81,26717.15,5023.65
268435456,1,53795.99,4991.5,53433.90,5023.69
