#header_line 1: mpirun -np 2 --map-by ppr:1:socket --mca pml ucx --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode009],[ct1pt-tnode010]
#header_line 3: -113.19, 4977.45
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,0.41,0.0,-113.19,-0.00
1,1000,0.4,2.47,-113.19,-0.01
2,1000,0.4,5.0,-113.19,-0.02
4,1000,0.4,10.01,-113.19,-0.04
8,1000,0.4,20.0,-113.18,-0.07
16,1000,0.4,39.89,-113.18,-0.14
32,1000,0.56,56.86,-113.18,-0.28
64,1000,0.56,114.22,-113.17,-0.57
128,1000,0.9,141.82,-113.16,-1.13
256,1000,0.94,271.3,-113.13,-2.26
512,1000,1.14,448.35,-113.08,-4.53
1024,1000,1.34,763.86,-112.98,-9.06
2048,1000,2.11,972.38,-112.77,-18.16
4096,1000,3.01,1363.47,-112.36,-36.45
8192,1000,4.86,1685.75,-111.54,-73.44
16384,1000,7.61,2154.24,-109.89,-149.09
32768,1000,13.2,2483.77,-106.60,-307.38
65536,640,24.82,2641.18,-100.02,-655.23
131072,320,46.71,2807.76,-86.85,-1509.13
262144,160,14.02,18751.04,-60.52,-4331.56
524288,80,25.68,20549.89,-7.85,-66760.53
1048576,40,55.55,18922.69,97.48,10756.90
2097152,20,142.41,14731.57,308.14,6805.74
4194304,10,308.81,13585.96,729.48,5749.76
8388608,5,701.43,11960.89,1572.14,5335.80
16777216,2,2232.94,7513.88,3257.46,5150.40
33554432,1,6463.41,5194.97,6628.10,5062.45
67108864,1,13593.02,4939.63,13369.39,5019.59
134217728,1,27021.6,4968.81,26851.97,4998.43
268435456,1,53795.99,4991.5,53817.12,4987.92
