#header line 1: GPU node
#header line 2: --map-by socket
#header line 3: Ts = 22.0729 s
#header line 4: latency = 0.42 us
#header line 5: bandwidth = 6155 MB/s
#header: N, Nx, Ny, Nz, k, c[MB], P [MLUPs/sec] (computed), N P(1)/P(N) (computed), P[MLUPs/sec] (measured), N P(1)/P(N) (measured)
1,1,1,1,0,0,78.286,1.000,78.286,1.000
1,1,1,1,0,0,78.286,1.000,78.286,1.000
4,4,1,1,2,46.08,313.014,1.000,309.776,1.011
4,2,2,1,4,92.16,312.883,1.001,310.721,1.008
8,8,1,1,2,46.08,626.027,1.000,615.174,1.018
8,2,2,2,6,138.24,625.506,1.001,611.147,1.025
12,12,1,1,2,46.08,939.041,1.000,895.448,1.049
12,3,2,2,6,138.24,938.259,1.001,895.091,1.050
24,24,1,1,2,46.08,1878.082,1.000,1656.790,1.134
24,4,3,2,6,138.24,1876.518,1.001,1686.510,1.114
25,25,1,1,2,46.08,1956.335,1.000,1366.520,1.432
25,5,5,1,4,92.16,1955.520,1.001,1389.400,1.409
32,32,1,1,2,46.08,2504.109,1.000,1675.980,1.495
32,4,4,2,6,138.24,2502.023,1.001,1742.530,1.438
40,40,1,1,2,46.08,3130.137,1.000,2042.430,1.533
40,5,4,2,6,138.24,3127.529,1.001,2131.680,1.469
48,48,1,1,2,46.08,3756.164,1.000,2341.970,1.605
48,4,4,3,6,138.24,3753.035,1.001,2499.760,1.503
