#header line 1: THIN node
#header line 2: --map-by ppr:N/2:node
#header line 3: Ts = 15.3276 s
#header line 4: latency = 0.98 us
#header line 5: bandwidth = 12185 MB/s
#header: N, Nx, Ny, Nz, k, c[MB], P [MLUPs/sec] (computed), N P(1)/P(N) (computed), P[MLUPs/sec] (measured), N P(1)/P(N) (measured)
1,1,1,1,0,0,112.738,1.000,112.738,1.000
1,1,1,1,0,0,112.738,1.000,112.738,1.000
12,12,1,1,2,46.08,1352.520,1.000,1324.530,1.021
12,3,2,2,6,138.24,1351.853,1.001,1318.910,1.026
24,24,1,1,2,46.08,2705.040,1.000,2594.560,1.043
24,4,3,2,6,138.24,2703.705,1.001,2633.940,1.027
32,32,1,1,2,46.08,3606.719,1.000,3363.330,1.073
32,4,4,2,6,138.24,3604.940,1.001,3498.550,1.031
40,40,1,1,2,46.08,4508.399,1.000,4148.880,1.087
40,5,4,2,6,138.24,4506.175,1.001,4361.020,1.034
48,48,1,1,2,46.08,5410.079,1.000,4795.320,1.128
48,4,4,3,6,138.24,5407.410,1.001,5080.640,1.065
